Theta_T,Theta_S,Alpha,Beta,Gamma,Avg_TR_F1,Avg_Cluster_ARI_All,Avg_Cluster_ARI_GT_Only
0.2,0.55,0.65,0.25,0.1,0.1773,0.0,1.0
0.2,0.5,0.5,0.3,0.2,0.1773,0.0,1.0
0.2,0.5,0.5,0.35,0.15,0.1773,0.0,1.0
0.2,0.5,0.5,0.4,0.1,0.1773,0.0,1.0
0.2,0.5,0.5,0.45,0.05,0.1773,0.0,1.0
0.2,0.5,0.55,0.25,0.2,0.1773,0.0,1.0
0.2,0.55,0.65,0.2,0.15,0.1773,0.0,1.0
0.2,0.55,0.6,0.35,0.05,0.1773,0.0,1.0
0.2,0.5,0.65,0.3,0.05,0.1773,0.0,1.0
0.2,0.5,0.65,0.25,0.1,0.1773,0.0,1.0
0.2,0.5,0.65,0.2,0.15,0.1773,0.0,1.0
0.2,0.5,0.6,0.35,0.05,0.1773,0.0,1.0
0.2,0.5,0.6,0.3,0.1,0.1773,0.0,1.0
0.2,0.5,0.6,0.25,0.15,0.1773,0.0,1.0
0.2,0.5,0.55,0.4,0.05,0.1773,0.0,1.0
0.2,0.5,0.55,0.35,0.1,0.1773,0.0,1.0
0.2,0.5,0.55,0.3,0.15,0.1773,0.0,1.0
0.2,0.6,0.75,0.15,0.1,0.1773,-0.0105,1.0
0.2,0.55,0.5,0.35,0.15,0.1773,-0.0062,1.0
0.2,0.55,0.5,0.3,0.2,0.1773,-0.0062,1.0
0.2,0.5,0.8,0.15,0.05,0.1773,0.0,1.0
0.2,0.5,0.75,0.2,0.05,0.1773,0.0,1.0
0.2,0.5,0.75,0.15,0.1,0.1773,0.0,1.0
0.2,0.6,0.6,0.25,0.15,0.1773,-0.0109,1.0
0.2,0.6,0.55,0.3,0.15,0.1773,-0.0154,1.0
0.2,0.6,0.55,0.25,0.2,0.1773,-0.0122,1.0
0.2,0.55,0.75,0.2,0.05,0.1773,0.0,1.0
0.2,0.55,0.75,0.15,0.1,0.1773,0.0,1.0
0.2,0.55,0.7,0.25,0.05,0.1773,0.0,1.0
0.2,0.55,0.7,0.2,0.1,0.1773,0.0,1.0
0.2,0.55,0.65,0.3,0.05,0.1773,0.0,1.0
