Theta_2,Theta_1,Alpha,Beta,Gamma,Active_Agents,Multi_Agent_Clusters,Avg_Cluster_Size
0.3,0.6,0.0,0.0,1.0,15,4,3.0
0.3,0.6,0.0,0.1,0.9,15,4,3.0
0.3,0.6,0.0,0.2,0.8,15,4,3.0
0.3,0.6,0.0,0.3,0.7,15,4,3.0
0.3,0.6,0.0,0.4,0.6,15,4,3.0
0.3,0.6,0.0,0.5,0.5,15,2,6.0
0.3,0.6,0.0,0.6,0.4,15,1,8.0
0.3,0.6,0.0,0.7,0.3,15,2,3.0
0.3,0.6,0.0,0.8,0.2,15,1,4.0
0.3,0.6,0.0,0.9,0.1,15,1,4.0
0.3,0.6,0.0,1.0,0.0,15,1,5.0
0.3,0.6,0.1,0.0,0.9,15,4,3.0
0.3,0.6,0.1,0.1,0.8,15,4,3.0
0.3,0.6,0.1,0.2,0.7,15,4,3.0
0.3,0.6,0.1,0.3,0.6,15,4,3.0
0.3,0.6,0.1,0.4,0.5,15,3,4.0
0.3,0.6,0.1,0.5,0.4,15,2,5.5
0.3,0.6,0.1,0.6,0.3,15,1,7.0
0.3,0.6,0.1,0.7,0.2,15,2,3.0
0.3,0.6,0.1,0.8,0.1,15,1,4.0
0.3,0.6,0.1,0.9,0.0,15,1,4.0
0.3,0.6,0.2,0.0,0.8,15,4,3.0
0.3,0.6,0.2,0.1,0.7,15,4,3.0
0.3,0.6,0.2,0.2,0.6,15,4,3.0
0.3,0.6,0.2,0.3,0.5,15,4,3.0
0.3,0.6,0.2,0.4,0.4,15,2,6.0
0.3,0.6,0.2,0.5,0.3,15,1,8.0
0.3,0.6,0.2,0.6,0.2,15,2,3.0
0.3,0.6,0.2,0.7,0.1,15,1,4.0
0.3,0.6,0.2,0.8,0.0,15,1,4.0
0.3,0.6,0.3,0.0,0.7,15,4,3.0
0.3,0.6,0.3,0.1,0.6,15,4,3.0
0.3,0.6,0.3,0.2,0.5,15,4,3.0
0.3,0.6,0.3,0.3,0.4,15,4,3.0
0.3,0.6,0.3,0.4,0.3,15,2,5.5
0.3,0.6,0.3,0.5,0.2,15,2,3.5
0.3,0.6,0.3,0.6,0.1,15,1,4.0
0.3,0.6,0.3,0.7,0.0,15,1,4.0
0.3,0.6,0.4,0.0,0.6,15,4,3.0
0.3,0.6,0.4,0.1,0.5,15,4,3.0
0.3,0.6,0.4,0.2,0.4,15,4,3.0
0.3,0.6,0.4,0.3,0.3,15,2,6.0
0.3,0.6,0.4,0.4,0.2,15,1,8.0
0.3,0.6,0.4,0.5,0.1,15,2,3.0
0.3,0.6,0.4,0.6,0.0,15,1,4.0
0.3,0.6,0.5,0.0,0.5,15,4,3.0
0.3,0.6,0.5,0.1,0.4,15,4,3.0
0.3,0.6,0.5,0.2,0.3,15,4,3.0
0.3,0.6,0.5,0.3,0.2,15,2,5.5
0.3,0.6,0.5,0.4,0.1,15,2,3.0
0.3,0.6,0.5,0.5,0.0,15,1,4.0
0.3,0.6,0.6,0.0,0.4,15,4,3.0
0.3,0.6,0.6,0.1,0.3,15,4,3.0
0.3,0.6,0.6,0.2,0.2,15,2,6.0
0.3,0.6,0.6,0.3,0.1,15,1,8.0
0.3,0.6,0.6,0.4,0.0,15,1,4.0
0.3,0.6,0.7,0.0,0.3,15,3,4.0
0.3,0.6,0.7,0.1,0.2,15,3,4.0
0.3,0.6,0.7,0.2,0.1,15,2,5.5
0.3,0.6,0.7,0.3,0.0,15,2,3.5
0.3,0.6,0.8,0.0,0.2,15,2,6.0
0.3,0.6,0.8,0.1,0.1,15,2,6.0
0.3,0.6,0.8,0.2,0.0,15,1,10.0
0.3,0.6,0.9,0.0,0.1,15,2,6.5
0.3,0.6,0.9,0.1,0.0,15,2,6.0
0.3,0.6,1.0,0.0,0.0,15,1,13.0
0.3,0.65,0.0,0.0,1.0,15,4,3.0
0.3,0.65,0.0,0.1,0.9,15,4,3.0
0.3,0.65,0.0,0.2,0.8,15,4,3.0
0.3,0.65,0.0,0.3,0.7,15,4,3.0
0.3,0.65,0.0,0.4,0.6,15,4,3.0
0.3,0.65,0.0,0.5,0.5,15,3,3.67
0.3,0.65,0.0,0.6,0.4,15,2,3.5
0.3,0.65,0.0,0.7,0.3,15,1,4.0
